Number of threads, time
18,23328
18,24212
18,24679
18,24635
18,23917
18,24994
18,24820
18,26326
18,25894
18,25805
18,24840
18,25801
18,24852
18,23196
18,22422
18,21252
18,20100
18,18918
1,237991
2,121225
2,125417
4,50155
4,49664
4,53474
4,53407
6,33629
6,35949
6,35061
6,35603
6,35647
6,35102
8,27855
8,27513
8,28634
8,27876
8,27393
8,28488
8,28860
8,27971
10,27886
10,30275
10,30410
10,30174
10,29868
10,30311
10,29883
10,27395
10,29239
10,50463
12,20086
12,20967
12,24110
12,25058
12,23401
12,22888
12,24849
12,24458
12,22682
12,23719
12,24808
12,22082
14,19173
14,20794
14,22928
14,23020
14,19344
14,22864
14,21544
14,23143
14,18279
14,24589
14,17632
14,24231
14,25763
14,34238
16,22266
16,23653
16,23088
16,23849
16,23521
16,23479
16,23895
16,23753
16,23797
16,23276
16,21199
16,20896
16,28623
16,19904
16,19069
16,26236
18,22604
18,23451
18,22946
18,24611
18,24615
18,24457
18,24204
18,25032
18,25448
18,24809
18,24516
18,23907
18,22917
18,22502
18,21592
18,20029
18,18551
18,17132
20,22158
20,23197
20,23121
20,23813
20,24238
20,24450
20,24895
20,25294
20,24874
20,24128
20,25199
20,27641
20,23174
20,21865
20,25937
20,21745
20,20673
20,18951
20,17347
20,17052
22,22098
22,23401
22,24459
22,24118
22,24639
22,24371
22,25102
22,25400
22,25749
22,25051
22,27971
22,26055
22,25028
22,10583
22,25227
22,24197
22,23499
22,22056
22,20275
22,19487
22,17655
22,16247
24,16855
24,17724
24,19007
24,19213
24,19870
24,19390
24,20136
24,20198
24,20204
24,21479
24,19778
24,19651
24,19234
24,18968
24,18019
24,17100
24,15339
24,9421
24,15250
24,13472
24,10483
24,12948
24,11094
24,11594
26,15344
26,15812
26,15813
26,15869
26,16434
26,15847
26,17311
26,17548
26,17649
26,17694
26,17240
26,16525
26,16250
26,16247
26,15453
26,14475
26,14009
26,10243
26,12464
26,10350
26,12310
26,12084
26,10310
26,9994
26,10050
26,9574
28,13928
28,15079
28,15632
28,16505
28,16670
28,16844
28,17079
28,17526
28,17944
28,21285
28,17323
28,16934
28,16436
28,15786
28,21934
28,10723
28,15324
28,14177
28,10524
28,10862
28,14503
28,10500
28,10182
28,12826
28,7918
28,12110
28,9388
28,10827
30,13187
30,14564
30,14830
30,14147
30,15637
30,15850
30,17733
30,17794
30,17370
30,20802
30,17486
30,9241
30,21882
30,16079
30,17698
30,18516
30,8803
30,15562
30,14745
30,10460
30,7948
30,10131
30,14291
30,12883
30,11121
30,9960
30,9722
30,8189
30,9611
30,10552
32,11594
32,12865
32,12219
32,12800
32,14201
32,13238
32,14789
32,14844
32,15422
32,15981
32,14269
32,15554
32,13625
32,16473
32,18351
32,13758
32,12966
32,15865
32,18379
32,12105
32,11833
32,8185
32,11656
32,10023
32,13850
32,10168
32,15239
32,12489
32,12145
32,11082
32,10661
32,9573
34,11681
34,11890
34,13391
34,13302
34,13664
34,14646
34,14950
34,15542
34,16076
34,15457
34,14824
34,15891
34,7963
34,16839
34,17849
34,7947
34,16681
34,16663
34,15011
34,11717
34,16698
34,9678
34,15069
34,10096
34,13978
34,7135
34,8707
34,8767
34,10341
34,11913
34,9317
34,10997
34,14763
34,9944
36,14192
36,13902
36,14574
36,15595
36,16114
36,15715
36,17387
36,17325
36,18089
36,17815
36,17236
36,18115
36,17533
36,17216
36,16972
36,16218
36,17398
36,8785
36,19792
36,19044
36,16376
36,15246
36,15009
36,18014
36,13245
36,11447
36,13198
36,10929
36,10737
36,15411
36,15949
36,14455
36,18424
36,18157
36,17790
36,19254
38,14806
38,15150
38,15511
38,15670
38,16773
38,17108
38,17516
38,17298
38,17693
38,18485
38,17802
38,16347
38,19187
38,17822
38,16498
38,10316
38,8136
38,7902
38,9934
38,15253
38,17073
38,18313
38,19505
38,11214
38,11922
38,15146
38,9016
38,14397
38,9069
38,9868
38,10406
38,12797
38,7732
38,7388
38,7019
38,10581
38,9389
38,11359
40,13292
40,13189
40,15094
40,15567
40,15424
40,15880
40,15373
40,16036
40,17378
40,18273
40,17307
40,18538
40,17190
40,17362
40,9789
40,10297
40,8199
40,18470
40,8698
40,8159
40,18572
40,7673
40,18218
40,9723
40,9844
40,17330
40,16153
40,8526
40,8486
40,16324
40,14330
40,7858
40,7575
40,5120
40,12441
40,6932
40,10567
40,8846
40,8890
40,8705
42,11894
42,12679
42,14027
42,13968
42,14338
42,15310
42,15131
42,15274
42,15712
42,16162
42,15707
42,15580
42,16544
42,10242
42,17099
42,17810
42,10156
42,17791
42,10209
42,10290
42,10758
42,8389
42,17320
42,10425
42,9270
42,7814
42,11423
42,7742
42,17346
42,16154
42,6164
42,14259
42,8638
42,12681
42,11608
42,6509
42,10163
42,6552
42,9264
42,7816
42,8287
42,7896
44,9756
44,11773
44,12342
44,12348
44,11829
44,13274
44,12886
44,13474
44,13571
44,13779
44,14401
44,13663
44,14921
44,14624
44,15885
44,18557
44,12163
44,9142
44,8523
44,11036
44,12951
44,17113
44,8775
44,13216
44,8296
44,11952
44,18972
44,11833
44,15568
44,13619
44,6105
44,17830
44,9778
44,9136
44,7264
44,8090
44,13233
44,15212
44,14638
44,6612
44,12220
44,11135
44,9012
44,6890
46,6688
46,6770
46,8003
46,8739
46,8625
46,8994
46,9196
46,9869
46,8102
46,9109
46,8199
46,9784
46,8128
46,4964
46,8833
46,8937
46,10988
46,6312
46,8781
46,8417
46,5903
46,7921
46,7599
46,13264
46,10836
46,12315
46,7793
46,8663
46,8194
46,8394
46,8908
46,9806
46,11017
46,5486
46,7227
46,9379
46,8157
46,5281
46,8210
46,5274
46,7479
46,6709
46,10285
46,7000
46,6619
46,8804
48,8345
48,8715
48,9009
48,9253
48,9460
48,9534
48,10035
48,9726
48,9944
48,10190
48,9394
48,10100
48,9210
48,8996
48,10162
48,9775
48,9572
48,9333
48,10020
48,9999
48,8707
48,10335
48,10001
48,8660
48,8633
48,8417
48,7577
48,9608
48,9311
48,10672
48,7834
48,7928
48,8279
48,10029
48,5955
48,6168
48,9564
48,8461
48,5845
48,7455
48,5742
48,7151
48,4685
48,6519
48,6239
48,6181
48,6390
48,6198
50,7570
50,7737
50,8280
50,8483
50,8810
50,9091
50,9080
50,9660
50,9304
50,9905
50,10001
50,9648
50,5416
50,5706
50,9836
50,10375
50,9694
50,8044
50,8966
50,6463
50,6425
50,10974
50,9175
50,6869
50,8371
50,8377
50,9632
50,5551
50,7249
50,8399
50,9126
50,6724
50,5502
50,7995
50,9500
50,6528
50,5126
50,8224
50,6845
50,5548
50,4682
50,7477
50,4471
50,5716
50,6527
50,5852
50,6481
50,5103
50,6087
50,5828
52,7729
52,8457
52,8665
52,8859
52,9268
52,9041
52,8957
52,9858
52,9544
52,9971
52,9551
52,8874
52,8711
52,11991
52,5332
52,8482
52,7547
52,5901
52,4033
52,8936
52,6105
52,7168
52,7203
52,9473
52,8591
52,7478
52,6476
52,7851
52,6465
52,9098
52,6379
52,8456
52,9116
52,7463
52,6269
52,8784
52,9467
52,8512
52,6121
52,7608
52,9686
52,7605
52,9126
52,7540
52,5044
52,4142
52,7624
52,5563
52,7147
52,6374
52,5361
52,5095
54,6537
54,7042
54,7728
54,7417
54,7847
54,8643
54,9211
54,8921
54,8617
54,8198
54,8150
54,4846
54,7832
54,4325
54,7391
54,4370
54,3946
54,6406
54,8270
54,6239
54,6212
54,5908
54,4717
54,5645
54,7283
54,6665
54,8817
54,8546
54,8000
54,7855
54,7908
54,7365
54,9247
54,9150
54,6583
54,6343
54,6882
54,8575
54,6122
54,5436
54,8819
54,9031
54,5392
54,4229
54,9104
54,7936
54,6510
54,3886
54,6628
54,6099
54,5718
54,5730
54,4873
54,5708
56,8423
56,8232
56,8784
56,9173
56,9359
56,9690
56,9729
56,10078
56,10117
56,9839
56,10527
56,9730
56,10292
56,9824
56,9162
56,5163
56,9611
56,5704
56,6988
56,9889
56,7216
56,7124
56,5611
56,6675
56,7426
56,8869
56,11556
56,6989
56,6843
56,5533
56,6672
56,9402
56,9495
56,7064
56,8254
56,7687
56,6166
56,7202
56,8458
56,6583
56,8589
56,7967
56,7788
56,10861
56,6557
56,11792
56,6697
56,4351
56,5910
56,5596
56,6194
56,5577
56,4798
56,6174
56,8836
56,8501
58,7012
58,7788
58,8355
58,8371
58,8444
58,8342
58,9452
58,9619
58,9561
58,9396
58,9736
58,10132
58,9561
58,5864
58,5723
58,5477
58,10087
58,9763
58,6964
58,6522
58,9798
58,6784
58,9280
58,6262
58,5130
58,5648
58,5416
58,5290
58,7861
58,7513
58,4616
58,7865
58,7402
58,5096
58,7658
58,7510
58,6175
58,7069
58,7378
58,7863
58,7586
58,7918
58,8726
58,8609
58,8896
58,6672
58,7769
58,8327
58,8148
58,7419
58,7875
58,4434
58,4779
58,4502
58,8023
58,7784
58,5843
58,7403
60,7039
60,7552
60,7880
60,7526
60,8315
60,8804
60,8870
60,9313
60,9422
60,9268
60,9176
60,9380
60,9604
60,5432
60,10354
60,5753
60,6273
60,8212
60,7037
60,9660
60,10581
60,6081
60,6609
60,8103
60,8044
60,5418
60,5331
60,10428
60,7306
60,4480
60,8486
60,3741
60,3897
60,8146
60,7010
60,4052
60,5058
60,6050
60,6654
60,5573
60,6683
60,7755
60,5978
60,8147
60,5857
60,5646
60,7258
60,6821
60,5749
60,8036
60,7513
60,6025
60,6652
60,5532
60,4370
60,6014
60,6687
60,5672
60,5164
60,6297
62,5784
62,6262
62,6368
62,6980
62,7518
62,7924
62,7621
62,8277
62,7543
62,7385
62,7428
62,4908
62,7503
62,6813
62,5076
62,5108
62,6482
62,4231
62,3299
62,5816
62,5364
62,3449
62,4858
62,5628
62,4752
62,3680
62,5995
62,3855
62,2961
62,5145
62,4495
62,5511
62,5347
62,3548
62,5209
62,5308
62,3805
62,5377
62,4998
62,6784
62,4156
62,6057
62,5610
62,6468
62,5274
62,4180
62,4196
62,6378
62,7683
62,6433
62,5780
62,5569
62,6306
62,7695
62,5768
62,4456
62,6079
62,5382
62,4442
62,4811
62,5235
62,4569
64,7246
64,7975
64,7953
64,8775
64,8655
64,9192
64,8941
64,8980
64,8880
64,8773
64,9168
64,8498
64,9353
64,5549
64,9277
64,6034
64,6437
64,6702
64,9559
64,8343
64,6631
64,7465
64,6349
64,6030
64,5979
64,4881
64,4584
64,7732
64,7572
64,5763
64,6251
64,4302
64,7616
64,4317
64,5774
64,4491
64,6298
64,7788
64,5910
64,7134
64,7564
64,6390
64,7234
64,7098
64,5920
64,6552
64,6430
64,4689
64,5350
64,8108
64,4799
64,7107
64,5586
64,8194
64,5249
64,6161
64,5067
64,7448
64,5380
64,5584
64,4512
64,5865
64,4420
64,5061
